"Z","U","X"
"1",22,0.237539921596901,1
"2",19,0.248800251610226,0
"3",20,0.253816196651393,1
"4",20,0.274611315433901,1
"5",23,0.234229545477391,1
"6",20,0.272076285802379,1
"7",20,0.249266005803852,0
"8",20,0.252730829502125,1
"9",18,0.270240292319007,0
"10",22,0.197553876080134,0
"11",20,0.230604787365818,0
"12",21,0.221868836655771,0
"13",22,0.233087739069954,1
"14",20,0.233419557983029,0
"15",20,0.227996697218087,0
"16",23,0.173467726334981,0
"17",21,0.240610266394838,1
"18",16,0.279690672117801,0
"19",20,0.28414124291201,1
"20",20,0.21956631155657,0
"21",19,0.253968194232822,0
"22",20,0.23441542342391,0
"23",19,0.284163599313489,1
"24",20,0.275445534952427,1
"25",17,0.282693032573631,0
"26",18,0.276242369599349,1
"27",18,0.286294144447426,1
"28",20,0.270155740258935,1
"29",19,0.237779835446061,0
"30",20,0.277731333631355,1
"31",19,0.284970604525844,1
"32",18,0.316560828138563,1
"33",18,0.321869480454225,1
"34",21,0.236535413152253,0
"35",20,0.206770327891652,0
"36",21,0.247889485882958,1
"37",17,0.268080025665327,0
"38",16,0.299221942241536,0
"39",20,0.252244494884615,1
"40",21,0.242091857655482,1
"41",19,0.243641443067487,0
"42",20,0.234904538803409,0
"43",18,0.280362153301459,1
"44",21,0.215664487900641,0
"45",20,0.254825817372166,1
"46",17,0.314729509525224,1
"47",23,0.18120257090283,0
"48",20,0.234699892215727,0
"49",21,0.242843568685435,1
"50",21,0.247046226589685,1
"51",22,0.270138775425778,1
"52",22,0.208782015846372,0
"53",21,0.260196148319939,1
"54",21,0.240472384939472,1
"55",18,0.272679654418201,0
"56",22,0.25110010950507,1
"57",20,0.216857456527465,0
"58",23,0.184701359293388,0
"59",17,0.278169602169309,0
"60",20,0.23043445998931,0
"61",24,0.191062750471688,0
"62",19,0.238258489439685,0
"63",22,0.208966432406521,0
"64",18,0.296104461831682,1
"65",19,0.268068174118254,1
"66",18,0.254117468769142,0
"67",21,0.212737295841475,0
"68",21,0.21992117436906,0
"69",22,0.246348291929654,1
"70",20,0.251870139167852,1
"71",17,0.251842512217819,0
"72",24,0.19879762598115,0
"73",21,0.264995230540971,1
"74",22,0.23614727613234,1
"75",19,0.242349816967623,0
"76",19,0.248548110461401,0
"77",20,0.278345647483662,1
"78",21,0.259035951507714,1
